# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-06-29,WP952026,37.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,37.0,2026-06-29 06:00:00,0 days 06:00:00,8.71,171.92,1005.6,19.1,70.90400620444393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,37.0,2026-06-29 12:00:00,0 days 12:00:00,8.95,172.6,1009.6,13.4,57.251529225969925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,38.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,39.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,40.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,40.0,2026-06-29 06:00:00,0 days 06:00:00,8.59,166.09,1011.8,12.5,59.37063808519457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,41.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,42.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,43.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,44.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,45.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,45.0,2026-06-29 06:00:00,0 days 06:00:00,9.02,171.59,1005.6,22.7,100.48873976099988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,45.0,2026-06-29 12:00:00,0 days 12:00:00,8.98,172.18,1010.6,14.0,61.41835621393204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,45.0,2026-06-29 18:00:00,0 days 18:00:00,8.83,170.68,1004.7,19.1,104.68872739157108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
